id,link,direccion,titulo,descripcion,barrio,sub_barrio,precio,moneda,expensas,superficie,dormitorios,antiguedad,banos,fecha_scrape
14288962,argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-5-ambientes--14288962,ZAPATA 100,BELGRANO  ALQUILER 5 AMBIENTES COCHERA AL FRENTE TODO EXTERNO BALCÓN CORRIDO  RECIÉN RECICLADO,"A pasos de subte  cabildo todas las líneas  de colectivos   ferrocarril

seguro de caución. 

 Alquiler hermoso 5 ambientes mucho sol y luz . 4 dormitorios 
balcón al frente  todo externo  cochera  servicios individuales
seguridad 24 horas.  93 metros cuadrados.
Todos los dormitorios con placards   pisos de parquet.
Lavadero independiente.   Calefon a gas  agua caliente individual .Super",Belgrano,Belgrano Barrancas,450000,$,,90.0,4,23,2,2023-08-31 10:50:19.961215
14207806,argenprop.com/departamento-en-alquiler-en-palermo-soho-3-ambientes--14207806,Guatemala 4500,Palermo - Divino 3 Ambientes con cochera en Torre Full Amenities!,"Alquiler  en palermo soho
torre esmeralda - guatemala y malabia

****** consulte por whatsapp  ********  *******

precio mensual: u$s1.950.- (Todo incluido, con tope de servicios de luz y gas) 
se alquila por 1/2/3 años  - totalmente amoblado y equipado - con cochera fija 
no apto mascotas
disponible a partir del 1/10/2023
hasta 4 personas 

está ubicado en el barrio de palermo soho, lleno de",Palermo,Palermo Soho,1950,USD,,85.0,2,,2,2023-08-31 10:50:19.961215
14152262,argenprop.com/departamento-en-alquiler-en-colegiales-2-ambientes--14152262,Maure 3500,"Alquiler temporario departamento 2 amb, colegiales","Alquiler c/fin determinado: hermoso departamento de 2 amb. A estrenar!! En semipiso, colegiales c/sum
super luminoso!! Se alquila sin amoblar.  Al contrafrente,  en 9no piso. Apto profesional
living comedor con cocina integrada y gran ventanal, salida a balcón. La cocina cuenta muebles completos bajo mesada y alacena, cocina de 4 hornallas eléctrica. Espacio con pre-instalación para lavarropas y",Colegiales,,590,USD,,49.0,1,5,2,2023-08-31 10:50:19.961215
14345782,argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--14345782,"AV. CORONEL DIAZ 1500, Piso PB","Departamento - Alquiler - Argentina, Capital Federal - AV. CORONEL DIAZ 1500","Alquiler de departamento monoambiente en palermo, capital federal 

departamento de 1 ambiente en pb al frente, tiene cocina separada y un baño. No paga expensas, abl y agua, solo luz y gas. 

Lepore propiedades ******** ******** / ******** 

 lepore propiedades s.A. Cuit : ********-9 c.U.C.I.C.B.A. Matrícula nº 931 (sucursales caballito - palermo - centro)

aviso legal: las descripciones",Palermo,,150000,$,,25.0,,40,1,2023-08-31 10:50:19.961215
14051283,argenprop.com/departamento-en-alquiler-en-las-canitas-2-ambientes--14051283,Arce al 500,Departamento en Las Cañitas,"Torre de categoria. Próximo a polo gastronómico las cañitas y al campo de polo .
 Departamento de dos ambientes. Living comedor con salida al balcón. Un dormitorio 
en suite con vestidor. Baño completo y un toilette de recepción.&Nbsp; cocina integrada con 
conexión para lavarropas. Cochera fija cubierta, baulera (jaula). Dos split frío/calor. 
Carpintería de aluminio doble vidrio. Edificio&nbsp;",Belgrano,Las Cañitas,750,USD,90000,61.0,1,13,1,2023-08-31 10:50:19.961215
14123246,argenprop.com/departamento-en-alquiler-en-villa-devoto-4-ambientes--14123246,Habana 3352 1,4 amb.| Patio propio | Terraza propia | Cochera cubierta p/2 autos | Ed. con SUM y Piscina,"Departamento de 4 ambientes al contrafrente. Cuenta con 3 dormitorios, el principal en suite. Cocina comedor con salida al patio propio. Amplio living, toilette y baño completo. Loza radiante individual. Patio de uso exclusivo de 130 mts.con cochera cubierta para 2 autos
            
        
cubiertos 103 m2
descubiertos (patio) 130 m2
el edificio tiene 8 pisos, 7 pisos de unidades y",Villa Devoto,,1200,USD,35000,103.0,3,0,2,2023-08-31 10:50:19.961215
14345527,argenprop.com/departamento-en-alquiler-en-puerto-madero-2-ambientes--14345527,Aime Paine 1100,"Departamento  en Alquiler en Puerto Madero, Capital Federal, Buenos Aires","Exclusiva propiedad con una excepcional vista a la ciudad desde el piso 30 del sofisticado alvear icon hotel & residences!!!
La misma cuenta con un gran living comedor y cocina en concepto abierto con barra completamente equipada, amplios ventanales que nos permiten el acceso al balcón disfrutar esa inmejorable vista. Toilette, master suite con acceso al balcón, vestidor y un lujoso baño revestido",Centro,Puerto Madero,3000,USD,,,1,0,2,2023-08-31 10:50:19.961215
6113742,argenprop.com/departamento-en-alquiler-en-villa-del-parque--6113742,"Av A Alvarez Jonte 2900, Piso PB",Departamento 3 ambientes con patio,No paga expensas.,Villa del Parque,,420000,$,,70.0,2,,1,2023-08-31 10:50:19.961215
14345791,argenprop.com/departamento-en-alquiler-en-palermo-viejo-2-ambientes--14345791,Av. del Libertador 2600,"Alquiler, Departamento, 2 ambientes, Palermo Chico, Palermo, Plaza Alemania","Departamento en alquiler en zona residencial en palermo chico.


Departamento de 2 ambientes sobre av. Del libertador entre jerónimo salguero y scalabrini ortiz, 39 mts2.
Living/comedor, cocina, baño completo y dormitorio. Se alquila amoblado.


Datos útiles

barrio:	palermo

comuna:	comuna 14

área hospitalaria:	htal. J.A.Fernández

comisaría comunal:	14

comisaría",Palermo,Palermo Viejo,700,USD,,39.0,1,0,1,2023-08-31 10:50:19.961215
14119480,argenprop.com/departamento-en-alquiler-en-villa-urquiza-3-ambientes--14119480,Avenida Álvarez Thomas 3000,3 AMBIENTES  ALQUILER VILLA URQUIZA,"El departamento se encuentra ubicado en la intersección de las calles alvarez thomas y monroe, lo que lo hace muy accesible desde diferentes puntos de la ciudad. 
El departamento en sí consta de una amplia sala de estar comedor con grandes ventanales que le dan mucha luminosidad. La cocina es independiente.

Los dos dormitorios son muy cómodos y el baño es moderno.


En resumen, este departamento",Villa Urquiza,,300000,$,55000,65.0,2,43,1,2023-08-31 10:50:19.961215
